Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
trapSpikesSteelDmg0,blocks,Trap,,,Steel Spikes Trap,,Eisenstachelfalle,Trampa de pinchos de hierro,Piège à pieux en fer,Trappola con spuntoni di ferro,鉄材スパイクトラップ,철제 가시 트랩,Pułapka — żelazne kolce,Armadilha de Espinhos de Ferro,Ловушка с железными кольями,Dikenli Demir Tuzak,铁钉陷阱,鐵釘陷阱,Trampa de pinchos de hierro
trapSpikesSteelDmg1,blocks,Trap,,,Steel Spikes Trap 1,,Eisenstachelfalle 1,Trampa de pinchos de hierro 1,Piège à pieux en fer 1,Trappola con spuntoni di ferro 1,鉄材スパイクトラップ1,철제 가시 트랩 1,Pułapka — żelazne kolce 1,Armadilha de Espinhos de Ferro 1,Ловушка с железными кольями 1,Dikenli Demir Tuzak 1,铁钉陷阱 1,鐵釘陷阱 1,Trampa de pinchos de hierro 1
trapSpikesSteelDmg2,blocks,Trap,,,Steel Spikes Trap 2,,Eisenstachelfalle 2,Trampa de pinchos de hierro 2,Piège à pieux en fer 2,Trappola con spuntoni di ferro 2,鉄材スパイクトラップ2,철제 가시 트랩 2,Pułapka — żelazne kolce 2,Armadilha de Espinhos de Ferro 2,Ловушка с железными кольями 2,Dikenli Demir Tuzak 2,铁钉陷阱 2,鐵釘陷阱 2,Trampa de pinchos de hierro 2
steelBars,blocks,Block,,,Steel Bars,,Eisenstangen,Barras de hierro,Barreaux en fer,Barre di ferro,面格子,철봉,Żelazne pręty,Barras de ferro,Железные прутья,Demir Çubuklar,铁栅栏,鐵柵欄,Barras de hierro
steelBarsCentered,blocks,Block,,,Steel Bars Centered,,Eisenstangen – mittig,Barras de hierro centradas,Barreaux en fer centrés,Barre di ferro centrali,面格子（センター）,철봉 (중앙),Żelazne pręty — wyśrodkowane,Barras de ferro centrais,Центрованные железные прутья,Demir Çubuklar - Ortalı,铁栅栏 居中,中心鐵柵欄,Barras de hierro centradas
steelBarsDesc,blocks,Block,,,You can see and shoot through steel bars and they offer awesome protection.,,Durch Eisenstangen kann man durchsehen und schießen und sie bieten brauchbaren Schutz.,"Puedes ver y disparar a través de las barras de hierro, que proporcionan una protección decente.","Vous pouvez voir et tirer à travers les barreaux en fer, et ceux-ci vous offrent une bonne protection.","Puoi vedere e sparare attraverso le barre di ferro, che offrono anche una discreta protezione.",面格子の隙間から発砲が可能です。防御力もそれなりにあります。,"철봉 사이로 사격을 할 수 있으며, 적절한 보호 기능도 제공합니다.","Pręty nie zasłaniają widoczności i można przez nie strzelać, a dodatkowo zapewniają niezłą ochronę.",É possível ver e atirar através das barras de ferro e elas oferecem uma proteção decente.,"Через железные прутья можно смотреть и стрелять, при этом они обеспечивают неплохую защиту.","Demir Çubukların arkasını görebilir ve içinden ateş edebilirsin, bunlar ayrıca iyi koruma sağlar.",你可以穿透铁条查看和射击，铁条为你提供良好的保护。,透過鐵柵欄你可以觀察和射擊，它們可以提供良好的保護。,"Puedes ver y disparar a través de las barras de hierro, que proporcionan una protección decente."
tableLampLightPlayer,blocks,Light,,,Table Lamp,,Tischlampe,Lámpara de mesa,Lampe de table,Lampada da tavolo,テーブルランプ,테이블 전등,Lampa biurkowa,Lâmpada de Mesa,Настольная лампа,Masa Lambası,台灯,臺燈,Lámpara de mesa
workLightPlayer,blocks,Light,,,Work Light,,Arbeitslicht,Lámpara de trabajo,Lampe de travail,Lampada da lavoro,作業用ライト,작업용 조명 ,Lampa robocza,Luz de Serviço,Осветительный прибор,Çalışma Işığı,工作灯,工作燈,Lámpara de trabajo
signExitLightPlayer,blocks,Light,,,Exit Sign,,Ausgangslicht,Cartel de salida,Panneau de sortie,Cartello di uscita,出口サイン,출구 표시,Znak drogi ewakuacyjnej,Placa de Saída,Знак «Выход»,Çıkış Tabelası,出口标志,出口標識,Cartel de salida
industrialLight02RedPlayer,blocks,Light,,,Red Industrial Light,,Rotes Industrielicht,Luz roja industrial,Lampe industrielle rouge,Luce industriale rossa,工業用照明,붉은색 산업용 조명,Czerwona lampa przemysłowa,Luz Industrial Vermelha,Красный промышленный светильник,Kırmızı Endüstriyel Işık,红色工业灯,紅色工礦燈,Luz roja industrial
